X,Y
501.8,174.14
501.7,174.143
501.6,174.146
501.501,174.148
501.401,174.151
501.301,174.154
501.201,174.157
501.101,174.16
501.001,174.162
500.901,174.165
500.801,174.168
500.701,174.171
500.601,174.174
500.501,174.177
500.401,174.179
500.301,174.182
500.201,174.185
500.101,174.188
500.001,174.191
499.901,174.194
499.801,174.197
499.701,174.2
499.601,174.202
499.501,174.205
499.401,174.208
499.301,174.211
499.201,174.214
499.101,174.217
499.002,174.22
498.902,174.223
498.802,174.226
498.702,174.229
498.602,174.232
498.502,174.234
498.402,174.237
498.302,174.24
498.202,174.243
498.102,174.245
498.002,174.248
497.902,174.251
497.802,174.253
497.702,174.256
497.602,174.259
497.502,174.262
497.402,174.265
497.302,174.268
497.202,174.271
497.102,174.274
497.002,174.277
496.902,174.28
496.802,174.283
496.702,174.286
496.603,174.289
496.503,174.292
496.403,174.295
496.303,174.298
496.203,174.301
496.103,174.303
496.003,174.306
495.903,174.309
495.803,174.312
495.703,174.314
495.603,174.317
495.503,174.32
495.403,174.323
495.303,174.326
495.203,174.329
495.103,174.332
495.003,174.335
494.903,174.337
494.803,174.34
494.703,174.343
494.603,174.346
494.503,174.348
494.403,174.351
494.303,174.354
494.203,174.356
494.104,174.359
494.004,174.362
493.904,174.365
493.804,174.367
493.704,174.37
493.604,174.373
493.504,174.376
493.404,174.379
493.304,174.382
493.204,174.384
493.104,174.387
493.004,174.39
492.904,174.393
492.804,174.396
492.704,174.399
492.604,174.402
492.504,174.405
492.404,174.408
492.304,174.411
492.204,174.413
492.104,174.416
492.004,174.419
491.904,174.422
491.804,174.425
491.704,174.428
491.605,174.431
491.505,174.434
491.405,174.436
491.305,174.439
491.205,174.442
491.105,174.445
491.005,174.447
490.905,174.45
490.805,174.453
490.705,174.455
490.605,174.458
490.505,174.46
490.405,174.462
490.305,174.465
490.205,174.467
490.105,174.47
490.005,174.472
489.905,174.475
489.805,174.478
489.705,174.481
489.605,174.484
489.505,174.487
489.405,174.491
489.305,174.495
489.206,174.499
489.106,174.503
489.006,174.506
488.906,174.509
488.806,174.511
488.706,174.514
488.606,174.516
488.506,174.518
488.406,174.52
488.306,174.523
488.206,174.525
488.106,174.528
